X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.27827745,44.96852748,373,1399411,L216,PENDING,ON Sale,9/13/2010,2015,10/1/2015,166516,"3 MONKEYS PUB AND GRUB, INC",1410 Nicollet Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 4000,57:09.2,-10383690.35,5616568.142,2.70E+12
-93.24506438,45.00094775,374,1668226,L190,APPROVED,ON Sale,9/19/2014,2015,4/1/2015,173729,BAUHAUS BREW LABS,1315 Tyler St NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 2000,57:33.4,-10379993.09,5621670.692,1.30E+12
-93.27827745,44.96852748,375,1506634,L216,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,169446,ASIAN TASTE,1400 Nicollet Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 4000,57:40.9,-10383690.35,5616568.142,2.70E+12
-93.24669246,44.99909078,376,1655823,L212,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,171527,612BREW,945 Broadway St NE,NULL,NE,LIQ ON-SALE C-2 W/SS SERIES 4000,57:40.9,-10380174.32,5621378.35,1.30E+12
-93.2464573,44.99160009,377,1193847,L200,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,130481,LEGENDS CAFE,825 Hennepin Ave E,NULL,E,LIQ ON-SALE B W/SS SERIES 3000,56:57.6,-10380148.14,5620199.189,1.30E+12
-93.27827641,44.96824707,378,1618620,L192,PENDING,ON Sale,11/1/2013,2015,4/1/2015,121087,MARKET BAR B QUE,1414 Nicollet Ave,NULL,NULL,LIQ ON-SALE C-2 W/SS SERIES 2000,56:57.6,-10383690.23,5616524.022,2.70E+12
-93.23805233,44.99174888,379,1323921,L233,APPROVED,ON Sale,1/23/2014,2015,1/1/2015,137275,IN WUNDERBAR,983 Hennepin Ave E,NULL,E,LIQ ON-SALE C-1 W/SS SERIES 1000,56:35.8,-10379212.51,5620222.61,1.30E+12
-93.24768889,44.91702078,380,1531215,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,131557,CARBONES PIZZA ON THE PARKWAY,4724 Cedar Ave S,NULL,S,WINE E W/STRONG BEER,57:05.8,-10380285.25,5608467.552,1.40E+12
-93.27882923,44.96746285,381,1031933,L196,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,131507,19 BAR,19 15th St W,NULL,W,LIQ ON-SALE E W/SS SERIES 2000,57:05.8,-10383751.77,5616400.631,2.70E+12
-93.26224889,44.91631651,382,1207554,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,146998,BA GU RESTAURANT,4741 Chicago Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10381906.06,5608356.84,1.40E+12
-93.26303468,44.91639651,383,1050179,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,136944,TURTLE LEVIAN-BIGA,4762 Chicago Ave,NULL,NULL,WINE E W/STRONG BEER,56:58.4,-10381993.53,5608369.416,1.40E+12
-93.28134385,44.96935296,384,1656076,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,165101,LORING KITCHEN AND BAR,1359 Willow St,NULL,NULL,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10384031.7,5616698.026,2.70E+12
-93.26302978,44.91575362,385,1448612,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,168023,TOWN HALL TAP,4810 Chicago Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10381992.99,5608268.355,1.40E+12
-93.28467561,44.96770493,386,564002,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,130559,WOMANS CLUB OF MPLS,410 Oak Grove St,NULL,NULL,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10384402.59,5616438.721,2.70E+12
-93.2630131,44.91567736,387,893804,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,131461,ADRIANS TAVERN,4812 Chicago Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10381991.13,5608256.366,1.40E+12
-93.2630311,44.91539518,388,563893,L198,APPROVED,ON Sale,8/15/2014,2015,7/1/2015,130452,PEPITOS,4820 Chicago Ave,NULL,NULL,LIQ ON-SALE A W/SS SERIES 3000,56:15.9,-10381993.13,5608212.008,1.40E+12
-93.28705293,44.96740512,389,564018,L206,PENDING,ON Sale,6/14/2013,2015,7/1/2015,130575,LA BELLE VIE,510 Groveland Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 3000,56:57.9,-10384667.23,5616391.548,2.70E+12
-93.25284231,44.90863117,390,1194613,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,143937,HOT PLATE,5204 Bloomington Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10380858.92,5607148.784,1.40E+12
