X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.222408798756859,44.91226717977748,470,1277922,L206,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,106766,AL VENTO,5001 34th Ave S,NULL,S,LIQ ON-SALE E W/SS SERIES 3000,2014-07-10 00:56:57.643,-10377471.078,5607720.3075,1802823310200
-93.22676665286258,44.976181928783561,471,1673560,L206,APPROVED,ON Sale,2014-10-03 00:00:00.000,2014,2014-10-12 00:00:00.000,167938,BUFFALO WILD WINGS GRILL & BAR #292,2001 University Ave SE 100,100,SE,LIQ ON-SALE E W/SS SERIES 3000,2014-11-06 00:57:22.400,-10377956.1921,5617772.5974,3002923220070
-93.222408798756859,44.91226717977748,472,1277922,L206,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,165780,AL VENTO,5001 34th Ave S,NULL,S,LIQ ON-SALE E W/SS SERIES 3000,2014-07-10 00:56:57.643,-10377471.078,5607720.3075,1802823310200
-93.222458341743106,44.91189285917055,473,1596044,L202,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,172108,TOWN HALL LANES,5019 34th Ave S,NULL,S,LIQ ON-SALE C-2 W/SS SERIES 3000,2014-07-10 00:56:57.643,-10377476.5931,5607661.4686,1802823310400
-93.222458341743106,44.91189285917055,474,1674623,L202,APPROVED,ON Sale,2014-10-17 00:00:00.000,2014,2014-10-18 00:00:00.000,172108,TOWN HALL LANES,5019 34th Ave S,NULL,S,LIQ ON-SALE C-2 W/SS SERIES 3000,2014-10-09 00:57:32.920,-10377476.5931,5607661.4686,1802823310400
-93.223597210588949,44.912310563832968,475,1207811,L247,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-04-01 00:00:00.000,145199,DOMINGUEZ FAMILY RESTAURANT,3313 50th St E,NULL,E,WINE E W/STRONG BEER,2014-07-24 00:57:16.797,-10377603.3714,5607727.127,1802823320000
-93.213000253204441,45.002406546232777,476,1362601,L188,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,54888,RAMADA PLAZA MINNEAPOLIS,1330 Industrial Blvd,NULL,NULL,LIQ ON-SALE A W/SS SERIES 2000,2014-04-17 00:57:05.820,-10376423.7235,5621900.3556,1802923130030
-93.221089645220019,44.998199373143677,477,1671622,L216,APPROVED,ON Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,174867,NORTHGATE BREWING,783 Harding St NE,#100,NE,LIQ ON-SALE E W/SS SERIES 4000,2014-09-25 00:57:40.890,-10377324.2305,5621238.0188,1802923310010
-93.218287869019122,44.992681712034354,478,1163618,L206,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,143140,JOSEPH CATERING,336 Hoover St NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 3000,2014-07-24 00:57:16.797,-10377012.3382,5620369.4451,1802923340040
-93.212950455096674,44.991932964831442,479,1671552,L239,APPROVED,ON Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,174115,INSIGHT BREWING COMPANY,2821 Hennepin Ave E,NULL,E,LIQ ON-SALE C-1 W/SS SERIES 4000,2014-09-25 00:57:40.890,-10376418.18,5620251.586,1802923430010
-93.223346974985091,44.901556576158484,480,565086,L231,APPROVED,ON Sale,2014-05-09 00:00:00.000,2015,2015-04-01 00:00:00.000,131623,AMERICAN LEGION POST #99,5600 34th Ave S,NULL,S,BEER BOTTLE CLUB ON SALE,2014-05-02 00:56:17.720,-10377575.5153,5606036.875,1902823230010
-93.221821128982825,44.987682461844088,481,1545819,L204,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,121672,SPORTYS PUB & GRILL,2124 Como Ave SE,NULL,SE,LIQ ON-SALE D W/SS SERIES 3000,2014-07-10 00:56:57.643,-10377405.6589,5619582.5503,1902923240060
-93.309047165778424,44.90458216584215,482,1670575,L247,APPROVED,ON Sale,2014-10-17 00:00:00.000,2015,2015-04-01 00:00:00.000,173975,RED WAGON PIZZA,5416 Penn Ave S,NULL,S,WINE E W/STRONG BEER,2014-10-09 00:57:32.920,-10387115.6169,5606512.3884,2002824110180
-93.318457350756219,44.901860459162002,483,988994,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,135204,CAVE VIN,5555 Xerxes Ave S,NULL,S,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10388163.1539,5606084.6333,2002824120210
-93.318457350756219,44.901860459162002,484,1438415,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,167907,PIZZERIA LOLA,5557 Xerxes Ave S,NULL,S,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10388163.1539,5606084.6333,2002824120210
-93.22676665286258,44.976181928783561,485,1441074,L206,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,167938,BUFFALO WILD WINGS GRILL & BAR #292,2001 University Ave SE 100,100,SE,LIQ ON-SALE E W/SS SERIES 3000,2014-11-06 00:57:22.400,-10377956.1921,5617772.5974,3002923220070
-93.29140754143225,44.962117368138557,486,564682,L216,APPROVED,ON Sale,2014-10-17 00:00:00.000,2015,2015-10-01 00:00:00.000,131229,LYLES BAR & RESTAURANT,2021 Hennepin Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 4000,2014-10-09 00:57:32.920,-10385151.9829,5615559.6114,3302924110080
-93.308257767629243,44.904702687060237,487,1455365,L192,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,164978,CAFE MAUDE,5411 Penn Ave S,NULL,S,LIQ ON-SALE C-2 W/SS SERIES 2000,2014-04-17 00:57:05.820,-10387027.7415,5606531.3305,2102824220200
-93.288441146260595,44.959264763064482,488,1077567,L235,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,121476,LEANING TOWER OF PIZZA,2324 Lyndale Ave S,NULL,S,LIQ ON-SALE C-1 W/SS SERIES 2000,2014-04-17 00:57:05.820,-10384821.7653,5615110.8349,3302924110140
-93.290177920284819,44.894081282127679,489,1103272,L221,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,60310,PATRICKS BAKERY & CAFE,6010 Lyndale Ave S,NULL,S,WINE ON SALE CLASS E,2014-04-17 00:57:05.820,-10385015.1021,5604862.1361,2102824440100
-93.22676665286258,44.976181928783561,490,1673766,L206,APPROVED,ON Sale,2014-10-03 00:00:00.000,2014,2014-10-18 00:00:00.000,167938,BUFFALO WILD WINGS GRILL & BAR #292,2001 University Ave SE 100,100,SE,LIQ ON-SALE E W/SS SERIES 3000,2014-11-06 00:57:22.400,-10377956.1921,5617772.5974,3002923220070
-93.293405997393677,44.959499949048116,491,1411576,L245,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,165269,SAVOY UPTOWN,2329 Hennepin Ave,NULL,NULL,WINE C-2 W/STRONG BEER,2014-04-17 00:57:05.820,-10385374.45,5615147.8339,3302924120180
-93.290177920284819,44.894081282127679,492,1103272,L221,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,168629,PATRICKS BAKERY & CAFE,6010 Lyndale Ave S,NULL,S,WINE ON SALE CLASS E,2014-04-17 00:57:05.820,-10385015.1021,5604862.1361,2102824440100
-93.225998089339782,44.973263357149015,493,1611280,L247,APPROVED,ON Sale,2014-05-23 00:00:00.000,2015,2015-04-01 00:00:00.000,171669,DINOS FRESH MED GRILL,856 Washington Ave SE,NULL,SE,WINE E W/STRONG BEER,2014-05-15 00:56:21.477,-10377870.636,5617313.3306,3002923230000
-93.293515857759672,44.960743302760456,494,1523530,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,146618,TAO NATURAL FOODS,2200 Dupont Ave S,NULL,S,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10385386.6796,5615343.4384,3302924120190
-93.288846891019929,44.980967345090029,495,1375750,L190,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,136119,DAMICO CATERING,275 Market St STE C25,STE C25,NULL,LIQ ON-SALE B W/SS SERIES 2000,2014-05-02 00:56:17.720,-10384866.9326,5618525.6817,2102924449000
