lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20150000083,BLINDSIDE 75 MINNESOTA LLC,Wine On Sale ,4/3/2015 00:00:00,10/20/2016 00:00:00,Active            ,6513404096,PIEOLOGY PIZZERIA,2111 FORD PKWY ,"ST PAUL, MN 55116-1814","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20060003179,PIZZA LUCE V INC,Wine On Sale ,12/15/2006 00:00:00,12/15/2015 00:00:00,Active Pending Ren,6512880186,PIZZA LUCE,1183 SELBY AVE ,"ST PAUL, MN 55104-6422","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20080000098,CIVITALI RESTAURANT CORPORATION,Wine On Sale ,9/9/2008 00:00:00,1/29/2016 00:00:00,Active            ,6516026068,PUNCH NEAPOLITAN PIZZA,769 GRAND AVE ,"ST PAUL, MN 55105-3307","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0088392,CIVITALI RESTAURANT CORPORATION,Wine On Sale ,11/22/1995 00:00:00,1/29/2016 00:00:00,Active            ,6516961066,PUNCH NEAPOLITAN PIZZA,704 CLEVELAND AVE S ,"ST PAUL, MN 55116-1319","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0096059,RISTORANTE LUCI INC,Wine On Sale ,2/1/1988 00:00:00,1/31/2016 00:00:00,Active            ,6516998258,RISTORANTE LUCI,470 CLEVELAND AVE S ,"ST PAUL, MN 55105-1350","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0011707,L & A CONSULTING & FOOD SERVICE INC,Wine On Sale ,9/4/1996 00:00:00,1/31/2016 00:00:00,Active            ,6516986889,RISTORANTE LUCI ANCORA,2060 RANDOLPH AVE ,"ST PAUL, MN 55105-1333","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20120000424,ROMOLOS LLC,Wine On Sale ,5/29/2012 00:00:00,11/1/2015 00:00:00,Active Pending Ren,6517763882,ROMOLOS,1409 ARCADE ST ,"ST PAUL, MN 55106-1822","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20070004289,RUAM MIT THAI INC,Wine On Sale ,10/1/2007 00:00:00,10/1/2016 00:00:00,Active            ,6512227871,RUAM MIT THAI,475 ST PETER ST ,"ST PAUL, MN 55102-1110","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20110000045,FRANKENSTEEN TACO LLC,Wine On Sale ,4/5/2011 00:00:00,12/2/2015 00:00:00,Active Pending Ren,6516982777,RUSTY TACO,508 LEXINGTON PKWY S ,"ST PAUL, MN 55105","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20120003241,SAKANA II INC,Wine On Sale ,12/11/2012 00:00:00,12/5/2015 00:00:00,Active Pending Ren,6516997777,SAKANA ASIAN BISTRO,740 CLEVELAND AVE S ,"ST PAUL, MN 55116-1345","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
